"","ID","Date","Block","Treatment","Genus","Species","Common.Name","Height..m.","Notes"
"435","435","",6,"LD","","","","1.1","tree? Opposite, not lobed, entire, rough, light b. buds"
"436","436","",6,"LD","Acer","saccharinum","silver maple","0.6",""
"437","437","",6,"LD","Acer","saccharinum","silver maple","0.54",""
"438","438","",6,"LD","Acer","saccharinum","silver maple","0.74",""
"439","439","",6,"LD","Acer","saccharinum","silver maple","0.6",""
"440","440","",6,"LD","Acer","saccharinum","silver maple","0.68",""
"441","441","",6,"LD","","","","0.68","same as 297 service?"
"442","442","",6,"LD","Cornus","","roughleaf dogwood","0.88",""
"443","443","",6,"LD","","","","0.62","tree? Dogwood?"
"444","444","",6,"LD","Acer","saccharinum","silver maple","0.7",""
"445","445","",6,"LD","Acer","saccharinum","silver maple","0.5",""
"446","446","",6,"LD","","","","","not tall"
"447","447","",6,"LD","Acer","saccharinum","silver maple","0.84",""
"448","448","",6,"LD","Acer","saccharinum","silver maple","0.53",""
"449","449","",6,"LD","Acer","saccharinum","silver maple","1.1",""
"450","450","",6,"LD","Acer","saccharinum","silver maple","0.66",""
"451","451","",6,"LD","Pyrus","calleryana","callery pear","1.17","less red leaves?"
"452","452","",6,"LD","Acer","saccharinum","silver maple","0.75",""
"453","453","",6,"LD","Acer","saccharinum","silver maple","0.68",""
"454","453b","",7,"LD","","","roughleaf roughleaf dogwoodwood?","0.68",""
"455","454","",7,"LD","Pyrus","calleryana","callery pear","0.68",""
"456","455","",7,"LD","Pyrus","calleryana","callery pear","0.74",""
"457","456","",7,"LD","","","?","1.04","adult s. elm?"
"458","457","",7,"LD","Ulmus","pumila","siberian elm","0.57",""
"459","458","",7,"LD","Ulmus","pumila","siberian elm","1.11","check"
"460","459","",7,"LD","Ulmus","pumila","siberian elm","0.81","check"
"461","460","",7,"LD","Ulmus","pumila","siberian elm","0.62",""
"462","461","",7,"LD","Ulmus","pumila","siberian elm","0.59",""
"463","462","",7,"LD","Ulmus","pumila","siberian elm","0.72",""
"464","463","",7,"LD","Ulmus","pumila","siberian elm","0.65",""
"465","464","",7,"LD","Ulmus","pumila","siberian elm","0.74",""
"466","465","",7,"LD","Ulmus","pumila","siberian elm","0.75",""
"467","466","",7,"LD","","","roughleaf roughleaf dogwoodwood","1.16","same as 453"
"468","467","",7,"LD","Ulmus","pumila","siberian elm","0.82",""
"469","468","",7,"LD","Ulmus","pumila","siberian elm","0.63",""
"470","469","",7,"LD","Ulmus","pumila","siberian elm","0.66","on strip"
"471","470","",7,"LD","Ulmus","pumila","siberian elm","0.6",""
"472","471","",7,"LD","Ulmus","pumila","siberian elm","0.68",""
"473","472","",7,"LD","Ulmus","pumila","siberian elm","0.52",""
"474","473","",7,"LD","Acer","saccharinum","silver maple","1.04","on strip"
"475","474","",7,"LD","Ulmus","pumila","siberian elm","0.52",""
"476","475","",7,"LD","Acer","saccharinum","silver maple","0.51",""
"477","476","",7,"LD/HD","Vitus","riparia","grape vine","-",""
"478","477","",7,"LD/HD","Vitus","riparia","grape vine","-",""
"479","478","",7,"LD/HD","Vitus","riparia","grape vine","-",""
"480","479","",7,"LD/HD","Vitus","riparia","grape vine","-",""
"481","480","",7,"LD/HD","Fraxinus","pennsylvanica","green ash","0.84",""
"482","481","",7,"LD/HD","Vitus","riparia","grape vine","-",""
"483","482","",7,"LD","Pyrus","calleryana","callery pear","0.57",""
"484","483","",7,"LD/HD","Fraxinus","pennsylvanica","green ash","0.62","no leaves/ buds"
"485","484","",7,"LD","Pyrus","calleryana","callery pear","0.7",""
"486","485","",7,"LD","Vitus","riparia","grape vine","-","on strip"
"487","486","",7,"LD","Vitus","riparia","grape vine","-","on strip"
"488","487","",7,"HD","Vitus","riparia","grape vine","-",""
"489","488","",7,"HD","Acer","saccharinum","silver maple","0.96",""
"490","489","",7,"LD","Vitus","riparia","grape vine","-",""
"491","490","",7,"LD","Vitus","riparia","grape vine","-",""
"492","491","",7,"LD","Acer","saccharinum","silver maple","0.74",""
"493","492","",7,"LD","Vitus","riparia","grape vine","-",""
"494","493","",7,"LD","mal/pru??","","callery pear","1.76","not as red, fuzzy stems"
"495","494","",7,"LD","Pyrus","calleryana","callery pear","0.9",""
"496","495","",7,"LD","Vitus","riparia","grape vine","-",""
"497","496","",7,"LD","Vitus","riparia","grape vine","-",""
"498","497","",7,"LD","Vitus","riparia","grape vine","-",""
"499","498","",7,"HD","Vitus","riparia","grape vine","-",""
"500","499","",7,"HD","Vitus","riparia","grape vine","-",""
"501","500","",7,"HD","Pyrus","calleryana","callery pear","1.3","waxier"
"502","501","",7,"HD","Vitus","riparia","grape vine","-",""
"503","502","",7,"HD/LD","Vitus","riparia","grape vine","-",""
"504","503","",7,"HD/LD","","","raspberry","1.03",""
"505","504","",7,"LD","Ulmus","pumila","siberian elm","0.68",""
"506","505","",7,"LD","Vitus","riparia","grape vine","-",""
"507","506","",7,"LD","Vitus","riparia","grape vine","-",""
"508","507","",7,"LD","Vitus","riparia","grape vine","-",""
"509","508","",7,"LD","Vitus","riparia","grape vine","-",""
"510","509","",7,"LD","Vitus","riparia","grape vine","-",""
"511","510","",7,"LD","Vitus","riparia","grape vine","-",""
"512","511","",7,"LD","Morus","","mulberry","1.86","dif. Leaves"
"513","512","",7,"LD","Vitus","riparia","grape vine","-",""
"514","513","",7,"LD","","","mulberry?","1.86","no leaves"
"515","514","",7,"LD","Morus","","mulberry","2.9",""
"516","515","",7,"LD","Vitus","riparia","grape vine","-",""
"517","516","",7,"LD","Fraxinus","pennsylvanica","green ash","1.11",""
"518","517","",7,"LD","Vitus","riparia","grape vine","-",""
"519","518","",7,"LD","Vitus","riparia","grape vine","-",""
"520","519","",7,"LD","Vitus","riparia","grape vine","-",""
"521","520","",7,"LD","","","","1.13","blue berries"
"522","521","",7,"LD","Vitus","riparia","grape vine","-",""
"523","522","",7,"LD","","","","0.84","same as 453"
"524","523","",7,"LD","Vitus","riparia","grape vine","-",""
"525","524","",7,"LD","Vitus","riparia","grape vine","-",""
"526","525","",7,"LD","Acer","saccharinum","silver maple","0.78",""
"527","526","",7,"LD","Acer","saccharinum","silver maple","0.68",""
"528","527","",7,"LD","Vitus","riparia","grape vine","-",""
"529","528","",7,"LD","Vitus","riparia","grape vine","-",""
"530","529","",7,"LD","Acer","saccharinum","silver maple","0.7",""
"531","530","",7,"LD","Vitus","riparia","grape vine","-",""
"532","531","",7,"LD","Morus","","mulberry","0.8","no leaves - one deeply lobed"
"533","532","",7,"LD","Vitus","riparia","grape vine","-",""
"534","533","",7,"LD","Vitus","riparia","grape vine","-",""
"535","534","",7,"LD","Vitus","riparia","grape vine","-",""
"536","535","",7,"LD","Vitus","riparia","grape vine","-",""
"537","536","",7,"LD","Acer","saccharinum","silver maple","1.11","on strip"
"538","537","",7,"LD","Vitus","riparia","grape vine","-",""
"539","538","",3,"LD","","","roughleaf roughleaf dogwoodwood","0.82","on strip/no leaves, red stems"
"540","539","",3,"LD","Platanus","occidentalis","sycamore","0.52",""
"541","540","",3,"LD","Platanus","occidentalis","sycamore","0.75","on strip"
"542","541","",3,"LD/HD","Acer","saccharinum","silver maple","0.58",""
"543","542","",3,"LD/HD","Acer","saccharinum","silver maple","0.58",""
"544","543","",3,"LD/HD","Acer","saccharinum","silver maple","1.28",""
"545","544","",3,"HD","Acer","saccharinum","silver maple","0.57",""
"546","545","",3,"LD","Acer","saccharinum","silver maple","0.52",""
"547","546","",3,"LD","Pyrus","calleryana","callery pear","1.02","few leaves/redder than dogwood"
"548","547","",3,"LD","Acer","saccharinum","silver maple","0.94","on strip"
"549","548","",3,"LD","Pyrus","calleryana","callery pear","","on strip, no leaves"
"550","549","",3,"HD","Vitus","riparia","grape vine","-",""
"551","550","",3,"HD","Vitus","riparia","grape vine","-",""
"552","551","",3,"HD","Vitus","riparia","grape vine","-",""
"553","552","",3,"HD","Vitus","riparia","grape vine","-",""
"554","553","",3,"HD","Acer","saccharinum","silver maple","1.19",""
"555","554","",3,"LD","Cornus","","roughleaf dogwood","1.46",""
"556","555","",3,"LD","Fraxinus","pennsylvanica","green ash","0.94",""
"557","556","",3,"LD","","","roughleaf roughleaf dogwoodwood","0.85",""
"558","557","",3,"HD","Vitus","riparia","grape vine","-",""
"559","558","",3,"HD","Acer","saccharinum","silver maple","1.32",""
"560","559","",3,"LD/HD","Acer","saccharinum","silver maple","0.57",""
"561","560","",3,"LD","Vitus","riparia","grape vine","-",""
"562","561","",3,"LD","Platanus","occidentalis","sycamore","1.3","on strip "
"563","562","",3,"LD","Vitus","riparia","grape vine","-",""
"564","563","",3,"LD","Pyrus","calleryana","callery pear","0.67",""
"565","564","",3,"LD","Acer","saccharinum","silver maple","0.73",""
"566","565","",3,"LD","Cornus","","roughleaf dogwood","0.61",""
"567","577","",8,"LD","Ulmus","pumila","siberian elm","0.68","darker"
"568","578","",8,"LD","Ulmus","pumila","siberian elm","1.64","lighter"
"569","579","",8,"LD","Ulmus","pumila","siberian elm","0.67","lighter"
"570","580","",8,"LD","Vitus","riparia","grape vine","-",""
"571","581","",8,"LD","Morus","","mulberry","1.23","no leaves"
"572","582","",8,"LD","Vitus","riparia","grape vine","0.79",""
"573","583","",8,"LD","Acer","saccharinum","silver maple","0.76",""
"574","584","",8,"LD","Platanus","occidentalis","sycamore","0.73",""
"575","585","",8,"LD","Acer","saccharinum","silver maple","0.72",""
"576","586","",8,"LD","Pyrus","calleryana","callery pear","1.16","red veins"
"577","587","",8,"LD","Acer","saccharinum","silver maple","0.87",""
"578","588","",8,"LD","Vitus","riparia","grape vine","-",""
"579","589","",8,"LD","Ulmus","pumila","siberian elm","0.5","lighter"
"580","590","",8,"LD","Acer","saccharinum","silver maple","0.96",""
"581","591","",8,"LD","Morus","","mulberry","0.69","deep lobes"
"582","592","",8,"LD","Vitus","riparia","grape vine","-",""
"583","593","",8,"LD","Cornus","","roughleaf dogwood","1.22",""
"584","594","",8,"LD","Vitus","riparia","grape vine","-",""
"585","595","",8,"LD","Acer","saccharinum","silver maple","0.68",""
"586","596","",8,"LD","Vitus","riparia","grape vine","-",""
"587","597","",8,"LD","","","","0.74","opposite leaves, red stem, blunt edge"
"588","598","",8,"LD","Pyrus","calleryana","callery pear","1.01","red veins"
"589","599","",8,"LD","Acer","saccharinum","silver maple","0.52",""
"590","600","",8,"LD","Pyrus","calleryana","callery pear","0.56","598"
"591","601","",8,"LD","Fraxinus","pennsylvanica","green ash","1.04",""
"592","602","",8,"LD","Vitus","riparia","grape vine","-",""
"593","603","",8,"LD","Vitus","riparia","grape vine","-","on strip"
"594","604","",8,"LD","Ulmus","pumila","siberian elm","0.5","lighter but small"
"595","605","",8,"LD","Ulmus","pumila","siberian elm","0.63",""
"596","606","",8,"LD","","","tree?","0.62","one leaf"
"597","607","",8,"LD","","","raspberry","0.99",""
"598","608","",8,"HD","Cornus","","roughleaf dogwood","0.99",""
"599","609","",8,"HD","","","black black cherry","1.01",""
"600","610","",8,"LD/HD","Vitus","riparia","grape vine","-",""
"601","611","",8,"LD","Vitus","riparia","grape vine","-",""
"602","612","",8,"LD","Acer","saccharinum","silver maple","0.6",""
"603","613","",8,"LD","Acer","saccharinum","silver maple","0.63",""
"604","614","",8,"LD","Acer","saccharinum","silver maple","1.2",""
"605","615","",8,"LD","Morus","","mulberry","1.12","deeply lobed"
"606","616","",8,"LD","Acer","saccharinum","silver maple","1.05",""
"607","617","",8,"LD","Morus","","mulberry","0.65","both leaves"
"608","618","",8,"LD","Vitus","riparia","grape vine","-",""
"609","619","",8,"","","","","","not tall enough"
"610","620","",8,"LD/HD","Acer","saccharinum","silver maple","0.87",""
"611","621","",8,"LD/HD","Acer","saccharinum","silver maple","2.22",""
"612","622","",8,"LD/HD","","","sycamore ","2.54",""
"613","623","",8,"LD/HD","Acer","saccharinum","silver maple","0.97",""
"614","624","",8,"HD","Pyrus","calleryana","callery pear","0.67","red vein"
"615","625","",8,"HD","","","boxelder","0.61","white buds, red stem"
"616","626","",8,"HD","Pyrus","calleryana","callery pear","0.62","624"
"617","627","",8,"LD/HD","Vitus","riparia","grape vine","-",""
"618","628","",8,"LD/HD","Vitus","riparia","grape vine","-",""
"619","629","",8,"LD/HD","Ulmus","pumila","siberian elm","1.3","small, light/bent 1-stick"
"620","630","",8,"LD/HD","Pyrus","calleryana","callery pear","0.61",""
"621","631","",8,"LD","Acer","saccharinum","silver maple","0.76",""
"622","632","",8,"LD","Pyrus","calleryana","callery pear","1.04","not as red"
"623","633","",8,"LD","Acer","saccharinum","silver maple","0.78",""
"624","634","",8,"LD","Acer","saccharinum","silver maple","0.83",""
"625","635","",8,"LD","Acer","saccharinum","silver maple","1.09",""
"626","636","",8,"LD","Vitus","riparia","grape vine","-",""
"627","637","",8,"LD","","","mulberryerry?","1.26","waxy grey/no leaves, on strip"
"628","638","",8,"LD","Acer","saccharinum","silver maple","1.27","on strip "
"629","639","",8,"LD","Vitus","riparia","grape vine","-",""
"630","640","",8,"LD","Vitus","riparia","grape vine","-",""
"631","641","",8,"LD","Vitus","riparia","grape vine","-",""
"632","642","",8,"LD","Platanus","occidentalis","sycamore","1.55",""
"633","643","",8,"LD","Morus","","mulberry","0.96","deeply lobed"
"634","644","",8,"LD","Acer","saccharinum","silver maple","0.7",""
"635","645","",8,"LD","Vitus","riparia","grape vine","-",""
"636","646","",8,"LD","Vitus","riparia","grape vine","-",""
"637","647","",8,"HD","Vitus","riparia","grape vine","-",""
"638","648","",8,"HD","Vitus","riparia","grape vine","-",""
"639","649","",8,"HD","Pyrus","calleryana","callery pear","0.58","not red"
"640","650","",8,"LD","Ulmus","pumila","siberian elm","1.2",""
"641","651","",8,"LD","","","raspberry","0.54",""
"642","652","",8,"LD","Vitus","riparia","grape vine","-",""
"643","653","",8,"LD","Vitus","riparia","grape vine","-",""
"644","654","",8,"LD","Vitus","riparia","grape vine","-","on strip"
"645","655","",8,"LD","Morus","","mulberry","0.82","both leaves"
"646","656","",8,"LD","Morus","","mulberry","0.75","deep lobes - extra lobe"
"647","657","",8,"LD","Vitus","riparia","grape vine","-",""
"648","658","",8,"LD","Pyrus","calleryana","callery pear","0.89","red"
"649","659","",8,"LD","Pyrus","calleryana","callery pear","1.8","stem not as red"
"650","660","",8,"LD","Acer","saccharinum","silver maple","0.61",""
"651","661","",8,"LD","Vitus","riparia","grape vine","-",""
"652","662","",8,"LD","Morus","","mulberry","1.34","deep lobe"
"653","663","",8,"LD","Pyrus","calleryana","callery pear","1.06","red stems, not veins"
"654","664","",8,"LD","Platanus","occidentalis","sycamore","0.58","on strip "
"655","665","",8,"LD","Vitus","riparia","grape vine","-","on strip "
"656","666","",8,"LD","Acer","saccharinum","silver maple","0.87",""
"657","667","",8,"LD","Cornus","","roughleaf dogwood","0.94",""
"658","668","",8,"LD","Vitus","riparia","grape vine","-",""
"659","669","",8,"LD","","","sycamore ","1.37",""
"660","670","",8,"LD","Cornus","stolonifera","red osier dogwood","","very red"
"661","671","",8,"LD","Acer","saccharinum","silver maple","0.64",""
"662","672","",8,"LD","Cornus","","roughleaf dogwood","0.69",""
"663","673","",NA,"","Morus","","mulberry","0.88",""
